cmt_col,labels
Thế nó là khách quen của mày hay sao? việc của m à nó chửi bạn tao thì tao binh liên quan gì mày khách hàng thân thiết của m à,0.0
Bố tk óc chó ngáo đá tưởng vậy là ngầu,2.0
Phạm Vũ nc Anh là trời âu chứ là gì 😄,0.0
Xin con cặc mẹ mày. Ok,2.0
Lolll cha m bán độ mà xin lổi cc j,2.0
Năng lực yếu kém. Tư duy bảo thỉ. Xin nghỉ đi,1.0
mực là con Vel'koz kk ilao là con bạch tuộc,0.0
Con chó trọng tài,2.0
Rồi ?,0.0
Bao gio ban xoi moi mua lai dc xe,0.0
Sorry cc bắt thẻ như cc ngta,1.0
nghỉ mẹ đi đừng làm trọng trọng tài nữa,1.0
Nguyễn Quốc Vinh SuBaSan,0.0
Chuẩn bị bay acc ik,0.0
Vẫn là bú tương tác :)) hẳn là nói được làm được :)) rẻ rách chưa :)),1.0
Nguyễn Gia Hiếu m vào đây lm j,0.0
Mày hãm l vừa thôi mày công kích tao xong bảo tao công kích cá nhân mày thế chả lẻ mày chửi tao thì tao chửi ai m bị ngơ à,2.0
 quao thật là xạo l @@,1.0
Pha ke,0.0
Bạn bè dell gì với cái tk mực rách này,2.0
Tham vật chất.chết của cải vật chất phải để lại hết.nhg tội thì mang theo .ko từ bỏ dc,1.0
Thứ bóng dơ,1.0
Ngoo còn đăng lên khoe nữa,1.0
sơ hở là trộm,1.0
Fake cũbg tin :))),0.0
ngu vcl,1.0
ủa vậy Thủ Tướng kỳ này là ai vậy,0.0
Thằng lồn mày qua việt nam thử có về được ko,2.0
nhặng đýt :)))),1.0
Tinh Trùng Khuyết Tật,2.0
Lần tới chừa mê choai nhé cưng,0.0
đg r lm như nó là bố thiên hạ ý,1.0
Trải qua cảm giác ..a di đà phật,0.0
"nó thuê diễn viên vào bắt nạt tôi bạn ạ, cơ mà 2 game nó 4 8, 2 8 k khá lên dc =)))",0.0
ủa lộn tối nhớ k cs con chim cánh cụt nên pressing :)),0.0
Lữ Văn Thánh ông trẩu vc,2.0
Xin lỗi con mẹ mày à. Xin lỗi thì làm đc con mẹ gì bây giờ. Lúc bắt k bắt công băng mẹ mày luôn đi để giờ đỡ phải xin lỗi,2.0
Ở thành phố thôi ở Quê thì mày song đời rồi,1.0
"đỉnh nhất vẫn là \""chiếc khăn gió ấm\""",0.0
"Thấy các bạn trẻ bây giờ mà thở dài ngán ngẫm, sinh ra trong thời bình, có điều kiện học hành, nhu cầu tối thiểu cũng đã xa xỉ so với lớp đàn anh, nhưng rồi chẳng nên trò trống gì!",1.0
Họ bị mù mà !!! Tiền che hàng cave đi rồi chúng cơ quan thiểu năng ko thấy đâu,1.0
Mong ông hãy rời khỏi VN,0.0
Khánh Duy share đi cháu 🤣,0.0
nhạc sĩ đa tài và anh chàng tấu hài đẳng cấp,0.0
Haha mày nhìn ạc này đánh giá hơi vội tao đéo phải loại ở nhà ăn bám không việc làm mà chơi tốc chiến đâu :)),1.0
lại là dư lợn vin,1.0
xà lơ. Hợp lý cái gì. Cái cty có tư cách gì mà đòi làm việc vs nta. Cty mà làm như cơ quan nhà nước. Lên đây thông cáo báo chí để làm chi. Chắc có cửa để gặp.,0.0
Nhanh chậm cái con mẹ chúng mày =))),2.0
Đm thằng ad xamlone,2.0
con mẹ mày chửi anh độ,2.0
Mấy thằng chó đẻ!,2.0
Tức á ca ko đc,0.0
"jack thà bỏ con cũng sẽ không bỏ qua việc này. Jack sẽ làm rõ đến cùng , hãy ủng hộ jack :)))",0.0
From Bảo Yên with love =))),0.0
Trọng tài bị thái lan chơi ngãi à,0.0
Tui coi đi coi lại chẳng thấy cái gì hết trời,0.0
sao ô biết hay vậy tôi 2006 đang lớp 12 tích tiền mẹ cho ăn sáng để net net được 70 win cao thủ đơn 220 điểm nếu ô k tin có thể lên lmsslus check ig : phu 206 12c1 #2005,0.0
"mịa, bao nhiều đời đéo dẹp được, ông Thăng lên được mấy tháng thì dẹp thế đéo nào ngay được, nói ngu vl",1.0
"xuất cai L, đm quần áo Vn toàn nhập siêu từ TQ hết 70% chứ xuất xuất clm chúng mày",2.0
Đi WC,0.0
Đừng làm vậy a ơi,0.0
may can xuong cua anh tao,1.0
Nhìn mặt đẹp gái mà cái tính lại xấu xa thế này.,1.0
Nhìn ngu haiz vãi,1.0
nguyên cái chữ Fan cứng thế cơ mà,0.0
k khác dì mấy với bọn thượng đẳng hàn quốc,1.0
Tụi thái mua m bao nhiêu vua áo đen bắt như quần trọng tài chính và phụ như quần quề tổ cha tụi,1.0
Thằng nào fan của thằng này dc thì bố m cũng nể :)),1.0
Đm train như cuccut mà vô quất 1 hơi 3-0 sợ thật :v,1.0
 bắt đc thằmg ngu bị cắn bait này,1.0
Cho 3 cha con nó vào tù luôn đi,1.0
Là là ăn cơm chó,0.0
1 người mẹ vĩ đại mãi êu,0.0
lm như m chưa bao h chửi=),0.0
Ra ngoài nhìn trước nhìn sau vào,0.0
"Fuck, Mẹ mầy nghỉ cầm còi đc rồi đó, chắc nhận một đống tiền từ thái.",2.0
gác lại chuyện đủ trình k thì bạn bè cái choá gì mà bạn qua mạng thì tin thì vẫn ngáo,1.0
"Tại ở viêt nam tội trom căp hình phạt còn nhẹ,chứ phạt như bên thái lan đi xem coi còn ai dám k",0.0
ông nói vậy là xúc phạm lồn rồi Mồm thằng này chắc giống cái hố phân ấy chứ,2.0
Cái cc m ak xl cái lol,2.0
Hat nhu lon 🙂,1.0
Thanh Hoa nhiều cánh hoa tạo nên (Thanh)Hoa,0.0
Xin lỗi đéo làm được gì đâu,1.0
Mẹ nó cái bọn trâu bò này người ta làm kiếm bạc cắt mà nó cũng kô tha,2.0
éo thèm nhé =)),1.0
Xinh cụ m,1.0
Xạo lồn quá chị ba ơi,1.0
Con bóng đũy ăn cứt,2.0
"Ch.ó mực sủa hay ghê , đánh thì như cc, lại đây bú cặk a a dạy chơi game cho",2.0
Bố thằng đần,2.0
Á đù idol ở đây luôn,0.0
Chet me may chua con kkk,2.0
Một pha óc chó của a . ý thức như ruồi của a,2.0
vl t đang xem mèo simmu bản sẽ à,0.0
Sống bằng cacban rồi. :)))) k bị chậm nữa,0.0
Tụi bay nghĩ đó là giọng con gái à? Sai lầm. Nhỏ đó chỉ có tâm hồn con gái thôi. Có cu đó,0.0
Ông ngu chứ cay gì,1.0
"vui ở đây, là thái độ với cách cư xử, có thể thua trong lòng buồn cực, nhưng có chơi có chịu, vẫn phải cư xử bên ngoài vui vẻ người ta mới nể chứ",0.0
M làm cc j mà đăg cái bài ngu vậy ad? Cho chúg vào chửi ngược à????,2.0
"Ba Lan Chi jack không bao , giờ đạo nhạc",1.0
"Loại phản Động phát biểu linh tinh, Việt Nam thống Nhất rồi",2.0
Quốc Khánh Sáng Nguyễn Nguyễn Shaco thằng ngu nhất t từng biết,2.0
Phạm Trần Ngọc Điệp nhưng quan trọng là cty J97 có địa chỉ nhà Vr sao ko qua thẳng làm việc trực tiếp cho nó xong đi còn đăng status làm gì cho nó lòng vòng?,0.0
Đã ngèo khó rồi còn ko tha bọn chó cắn áo rách,2.0
Đm bọn chó bán xôi còn đéo tha .,2.0
Để hình con chó con heo bình tùm bậy tùm bạ.:))) Chửi anti thốn vl,1.0
Mới hả mn 😅,0.0
Mẹ Đỹ ruồi phát quang mê cá chà bac của anh jack nên thích có con rơi à,2.0
30p rồi kêu chậm cái dmm,1.0
Bài đặt,0.0
Ayane Harukana.,0.0
Ngu vcl,1.0
"Ăn hết bao nhiêu tiền của dân để lo cho dân nhưng lũ mọi rợ này lo cho dân vậy đó,qua tàu rước bao công về chém hết lũ mọi rợ đó đi.",2.0
ngài tỷ phú đây nghe nói cái nóng hết cả cái đầu lên nhỉ=)))),0.0
Chỉ tại con người tiến hoá thành choá,1.0
Chuyên môn yếu,1.0
lớn rồi mà não chứa sạn vs sỏi trong đầu hả :))) coi chừng nó cho đứa con,2.0
Người ko ra người.ngợm ko ra ngợm.ý thức thì như đống rác.nhà nước nên bỏ tù những thằng coi thường pháp luật và tính mạng người khác như nó.phạt thật nặng xem nó có im mỏm nó ko.,1.0
Cái này hả,0.0
Dm bọn Việt tân nhé,2.0
Cần tao giạy khoá lm trọng tài ko,0.0
"top 1 rồi mà, thậm chí 3 acc td hàn top 10 top 20",0.0
"bộ hàng hải :)) admin ngu đéo chịu đc :)))))))))))) ôi ""bộ hàng hải"" =)))))",1.0
Lũ này bắt dk dah chết mẹ...ko lo làm ăn .. toàn đi trộm cắp,2.0
Bắn làn+tốc độ,0.0
"đúng rồi phải bồi thường đi, làm ngta có bầu rồi bỏ đâu có đc",0.0
"Đàn bà nó thế, bạn có nói trăm lần thì nó trả lời bạn: thằng lắm mồm!",1.0
Muộn rồi,0.0
Bài học cảnh giác,0.0
Hoàng T. Kim Khuyến cười cái lon,1.0
Con nay da vo mat no cho đa,2.0
cả dòng họ nghèo hèn kid đ gặp được messi nên ganh tị,2.0
Thanh Vinh top thách đấu đấy ba . conten thôi,0.0
Ông trần dần nói hay quad,0.0
Sếp nhà mình lại bắt nhân viên đi cách li thay 😌😌,0.0
"Ad chửi hết bọn khựa làm chó gì?! Dân nó cũng y như dân mình thôi. Chế hính cho đỡ tức hả, không tác dụng gì, để sức mà xem nước ta ""thắt chặt tình hữu nghị"" ra sao nhé. Vụ Formosa chìm xuồng rồi nhé :v Đm, ai bầu thằng cẩu nô tài lên làm lãnh đạo thế?!",1.0
Nguyễn Văn Huân sống chậm làm đéo j,1.0
Tăng Gia Kiệt e hiểu lý do sao e dc lòng đứa khác r a =))))))))))),0.0
Huỷ lễ tang mẹ m à,2.0
Sống kiểu này ko ngốc đầu nỗi đâu .sau này hối hân cũng muộn rồi,1.0
Óc chó,1.0
Ăn tết đéo ngon,1.0
"anh bạn à, tôi có thể giảng hòa được kh? :v",0.0
Thịt lợn tăng,0.0
Ng Tuấn Châu uầy gắt vđ,1.0
sao m biết,0.0
gi vay abe :)),0.0
Vl :)),1.0
Khánh An hạt điên quỷ tới chơi nè lũ bk,0.0
Con đĩ Linh nc ngu vãi! Ai xuống thăm nó chưa nhỉ,2.0
"có lẽ chơi game nhiều nên kỹ năng mềm kém. Mấy đứa tuyển thủ trừ những đứa chín chắn như Levi hay lứa tuyển thủ đời đầu thì còn lại kỹ năng mềm, thậm chí kỹ năng sống đều kém (kể cả Sofm t cũng k đánh giá cao)",0.0
bon comcom đơn vị tác chiến điện tử vs nhật ký yêu nước dm chúng mày vào mà đọc. tưởng ai cũng như chúng mày hết đấy,2.0
Hiep Tong chắc k ai nhận ra đâu 🤣,0.0
Chẳng hiểu mày ăn mặc kiểu lồn gi,2.0
"chấp làm gì cái loại này hả e, chả biết cuộc đời nó hơn ai rồi mà mở mồm ra là khinh người khác :))))",1.0
Như 1 con bò động đực clm =))),1.0
đừng thấy ai không để avt là phán câu clone,1.0
Những đứa trẻ này thật hết biết nói gì. Khi nữa chết đi xuống gặp Phán Quan tới đó hối cãi cũng kh còn kịp nữa ròi.,0.0
:))))) xử lý lỗi lại cứ muốn dc khen cơ. lôi rank này nọ ra cơ. vậy thoi đăng lên mạng xã hội chi rồi đòi ai cũng phải khen trog khi toxic xử lý lỗi :))),0.0
rất mong các luật sư làm việc luôn,0.0
mầy thit,0.0
"Bán nước rõ ràng rồi, các cháu dư luận viên còn gì để sủa ko?",1.0
"Sao quan chức cao cắp csnào , khi vi phạm pl cũng đều trả lời có vẻ ngây ngô , khờ khạo . Chẳng lẽ qui trình chọn lọc cán bộ cấp chiến lược là vậy sao ?!.Nhìn hành vi các qc phạm pháp thì biết nước nhà do các vĩ lđ sẽ đi về đâu . Đúng là các vị coi dân như những con lừa , mưốn làm gì củng được .Thế mà vẵn quang vinh vĩ đại !",1.0
Óc choo làm kèo ko :)),1.0
Nguyễn Quốc An một giọt là nước suối tinh khiết,0.0
DLV ngu lol lại còn lắm đứa hùa theo thể hiện đầu óc đúng là cặn bã. Lại còn lắm thằng bảo Việt Tân tài trợ Phan Anh nữa chứ.,2.0
Cả Lê Hữu,0.0
Ôi bọn ghen ăn tức ở,2.0
Nhảm loz,1.0
Thanh Tâm a mực ngu cỡ này m ngu cỡ nào,1.0
Địt con mẹ cnó vẽ rađể ăn chia với nhau ý mà. Làm cổng 200ti để tế thằng tổ cnó ah,2.0
Chỉ có thể là Se dan,1.0
Đi coppy ảnh của page khác không ghi nguồn. :))) kém chuyên nghiệp,1.0
"với immortal là 2 người one champ ngang ngữa nhau, có thể nói tồ vs trym hòa làm 1 thì mực với illaoi cũng vậy, anh cứ smuft tụi rank bạch kim kim cương cho em",0.0
Anh em đón Tết Corona thế nào rồi :)),0.0
thích thì Spam th XD,0.0
Ai biểu mê trai… đừng đỗ thừa winner & ẹc sìn tơ nhaaaa,1.0
"Làm cho tới luôn nha Jack ơi,thấy e hiền nó ăn híp ,nó trèo đầu cỡi cổ,đụng chạm Fan e nữa kìa ,ủng hộ Jack và công ty làm cho sáng tỏ việc này,bắt họ phải chịu trách nhiệm về những phát ngôn mà đã gây ra cho tất cả mn",0.0
"Mày làm như lên cái là hết trộm cướp ấy, với cái xã hội này chỉ có thể hạn chế thôi là đã mừng rồi nhé",1.0
"bạn thì kinh rồi ,bn là nhất ok chưa",0.0
Chỉ là lại từ bỏ tiền ra cho cày view thôi chứ hay cc j đâu,1.0
Những trận đá bóng là để thoả mãn nhãn người hâm mộ yêu bóng đá… mày bắt như thế thì ở cái bồn tắm thôi chứ không ra biển lớn được thằng đui đi làm trọng tài…,2.0
Nguyễn Mạnh nói câu nào ngu câu đấy đúng fan ráck,2.0
K phải khen chứ phim dỡ vkl,1.0
"văn minh nhưng ăn cháo đá cặp lồng, bỏ vợ bỏ con :))",1.0
bây giờ xin lỗi thì dc gì?,0.0
"Không phải tự nhiên bỏ công ty rồi làm vẻ tội nghiệp được đàn anh và bên faptv cứu xong giờ hỏi xem họ có coi ra gì ko, bỏ vợ bỏ con, khinh thường đàn anh, làm màu trên sân khấu bao nhiêu show bị khán giả chê, dính bản quyền gần nhất là idol b… Xem thêm",0.0
XIn đmm,1.0
Nứng nứng nứng à,1.0
2 chuyện đéo liên quan nhóc ác nhai phân gì ngậm hoài kh nhả v,1.0
lỗi cc,1.0
ok a 🙄🙄,0.0
ở ngoài tao mà gặp kiểu này t bắt lại cho anh Diệt đánh chết con cụ mày,2.0
"Đọc tin này mà đau lòng quá, thật kinh khủng.",0.0
xin chào anh trọng tài,0.0
giờ bố lấy xe m đi xịt sơn lại bảo của t m chịu đc ko kuu,0.0
thầy book giáo án mới cho e:(( a be cứu e vs,0.0
Ngu thì chịu thôi bác,1.0
Ông chủ đem nhân viên đi khảo sát địa hình nuôi tôm,0.0
Nhìn mặt nc . Là Bik bộ mặt giả tạo . Bữa đó lôi tên cô mình Hiếu vo trước . Giờ nói kiểu xạo lol,1.0
Địt cụ chúng nó? Bắt sâu nặng quá. Một đất nước xã hội khốn nạn,2.0
ăn bom trên nhà thằng adm trốc tôm thôi,1.0
Này này ông bắt như j ấy h ra 1 câu xin lỗi là xong à quả cuối chạm tay ông ở ngay sau vẫn như k có chuyện j xảy ra Hảo ông :)),0.0
=)))) cày thuê rank bk ngầu.wa clm,0.0
"Vài năm nữa Kỳ Anh là huyện ung thư, Hà Tĩnh là tỉnh ung thư của VN :3",0.0
Xin lỗi Việt Nam,0.0
trọng tài,0.0
Nghèo đói quá mà,0.0
CON QUI CAI CHUYEN DI LUA GAT... MAY GAT CHI MINH HIEU ... SAO LON,2.0
Những cái loại tội phạm có tổ chức như thế này... thì sao này ko có ra tòa nữa...niếu bắt được thì đem ra biển đổ xuống là xong.ok.,1.0
Chỉ muốn nói rằng em rấtt rất nhớ anh 🙂,0.0
:))) đuối lý rồi kìa.cay lắm. fan cái thằng toxic xử lý ngu bị hành ròii cay đập bàn đập ghế xong bắt ngkhác phải khen cơ.. :)))) lớn rồi chơi game it thoi cháu ạ. ra đường nhiều vào kkkk,1.0
Thanh niên mà đi xe độ mặc đồ tối khí chất u ám là biết xếp vào loại hạng người nào rồi,1.0
Đúng một quả ảnh hợp lí,0.0
Tán tận lương tâm ăn chỉ đi cướp giật,2.0
"ngu ai mượn vô cmt ngta vậy chứng tỏ m ngu hơn ,sân si hơn",2.0
"đất nước mình như tảng băng chìm. Loạn lạc quá! ba mẹ đi làm quần quật kiếm tiền , các thuế phí xăng thì tăng vùn vụt mà lương thì không thấy tăng, con cái đi học thì bị bảo vệ/ thầy ..bạo hành, lạm dụng td. Bị phát",1.0
Ngàn lần xin lỗi cũng ko đủ . Chết đi,2.0
"má tao ngày xưa cho má mày mà, còn ba tao và anh em tao còn dạy kèm cho má mày nữa đó :)))",0.0
Thoại Trần chính tã là chính gì,0.0
Nguyễn Hằng Khanh Nguyen hay ăn nè,0.0
"The ma van k ganh duocc anhh , dung la ngu lau dot ben` kho dao` taoo ma`",2.0
Nói hủy kênh Không coi mà biết vô bình luận 😂😂😂,0.0
đi học mà xâm hình Thầy lol,1.0
Cứ trai đẹp là dè chừng nhà.c e,0.0
:)))),0.0
"Nhìn mà không diễn tả nổi, một video đáng buồn, tôi cầu mong cho người bán xôi kia mãi mãi tốt đẹp",0.0
Bố mày đẻ mày ra mày ăn cứt lợn à,2.0
"Nail là 1 nghề như nhiều nghành nghề lương thiện khác nhưng dưới bàn tay đen đúa của Tuyên giáo nó thành 1 cái nghề thấp kém, hạ đẳng. Nghề nào cũng để kiếm sống, nuôi sống gia đình, phục vụ xã hội cộng đồng không phân biệt giàu sang hay thấp hèn. Bản chất của CNCS là bình đẳng bác ái nhưng những hiện nay họ đang thực hiện hoàn toàn trái ngược.",1.0
Đúng chất Những thần ăn phân chó,2.0
dc mẹ sức dài vai rộng..,1.0
Nếu là người biết tự trọng thì bạn nên xin nghỉ việc đi. Phát biểu thì toàn nói hay. Từ ngày nắm các đội tuyển Việt Nam đi đá giải nào cũng thua. Từ giao hữu tới chính thức. Đá như giờ thì dự word cup gì,0.0
"trọng tài, trọng tài, trọng tài đâu",0.0
 mầy được Thai Lan mua à,0.0
Tin Vui Cuối Ngày:,0.0
Có vẻ là người nổi tiếng :v,0.0
nói đi phải nói lại. Bây giờ không thằng nào nhận tiền hết. Đụng là phạt . Thì ý thức sẽ tự đi lên.,0.0
cái giọng bà đó nghe ấy ấy quá ha,0.0
Cầm còi 1 lần cả nhà mày ăn cả đời thằng mặt lần,2.0
đm mày thang chó,2.0
mày đúng là con c.h.ó ăn c.ứ.t của nhà nước.,2.0
Người nghèo cũng đi lấy xe của họ nhục quá,0.0
ngoài đời a này có ngu như vậy không mọi người,2.0
"phản động là những đứa dám nói ""xấu"", nói xéo, và nói lên sự thật, đi ngược với đường lối của đoảng và bọn dư lợn viên lương 3 tháng 1 củ ( á nhầm 3 củ 1 tháng)",1.0
"""Sản phậm bị đạo như cl"" thì thẳng bỏ con nó đâu có thèm đạo .",1.0
Em chỉ hài lòng khi có ny bên cạnh thoiii :< mặc dù k có ny :((,0.0
"trong mấy grp rank bạc vàng mực feed bỏ mẹ, bị bọn m up lên khịa nhiều vc :))",1.0
ngu như cho,1.0
Kien Ne bố jack cmay mới nổi đc năm thằng thánh nện kia n nổi lâu rồi k có cty thì tuổi cẹc mà nổi đc như giời ngồi mà lo tr thế giới lo mà ăn vào mồm cho no ấy,2.0
Mấy thằng mất dạy.co chiếc xe để ban xôi cũng lấy,2.0
"Trộm cướp bắt được nên đánh chết ạ, đừng để chúng đẻ trứng",1.0
"Bon này giảng cảnh với nhau, sau này gd bọn này cũng sẽ bị như vậy thôi,qua báo sẽ đến nhanh thôi",1.0
Xin fb của bà này,0.0
Quang Chivas bố tổ sư thằng bại não,2.0
Súc vật từ nhan sắc đến nhân cách súc phạm loài người quá đy,2.0
"Hô ng việt dùng hàng việt đâu hết rồi, làm mẫu đi chứ",0.0
Giảm cân đi hoèn =)),0.0
trẻ ranh dạo này cay. bị tao chửi cay. fan thằng zeros này thất bại del khác gi lũ ricon bên bóng đá :))) có gi đâu mà cay vào fb soi. kkkkk cay lắm kìa,1.0
WC là toilet nha chứ không phải World Cup… Q.ÙE mà cứ thích nhảy hiphop!!!,0.0
":)))) đóm cay đóm cay đó bạn, mấy con ruồi này nó nghe nhạc 5 củ mọc răng cắn gê lắm, ns mấy con ruồi phát sáng kêu anh 5 củ thấy mik bị oan báo công an đi lên mạng hù ai:)))",1.0
Rồi bắt 3 cha con nó ch mn,0.0
gết thật giữ kiểu này mà người dân đi lấy xe còn tính cả tiền giữ xe kìa,0.0
Le Mynhut thứ 5 tuần sau đó chế,0.0
Tí bố cho bayyy acc,0.0
Lỗi con cặc thằng mắt như mù,1.0
"Quân ăn cướp của trắng trợn , cuộc sống về sau mang nghiệp nặng",2.0
 làm tới đâu rồi :)),0.0
Cố tỏ ra là mình ổn nhưng sau bên trong.....,0.0
Nghe có vẻ Hư Trúc nhưng lại rất Mộ Dung Phục,0.0
Táng chết cha tụi mày lũ học trò l :)),2.0
Hèn gì chúng nó chỉ dám nói là ko có liên quan. Cái địt mẹ mấy thằng lớn,2.0
Fake dmm,1.0
THẰNG AD ĐỌC KỸ RỒI HÃY PHÁN! AD MÀ LÀM ĂN THUA CẢ CON CHÓ! VỀ BỐC CỨT ĂN ĐI,2.0
"ủa v s ông V thấy giống ko liên hệ J làm việc mà lại lên live nói thẳng v, up stt fb J vô cmt thì ko tl, giờ đòi J làm việc trước ?",0.0
Bảo hiểm thì nước đ' nào chả phải nộp :v tai nạn ra ai thanh toán :v bóp cái tít cũng ngu :v,1.0
